route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
12_1,FULLW,12_1_PM_3,,,,
12_1,FULLW,12_1_PM_4,,,,
12_1,FULLW,12_1_PM_5,,,,
12_1,FULLW,12_1_PM_6,,,,
12_1,FULLW,12_1_PM_7,,,,
12_1,FULLW,12_1_PM_8,,,,
12_1,FULLW,12_1_PM_9,,,,
12_1,FULLW,12_1_PM_10,,,,
12_1,FULLW,12_1_PM_11,,,,
12_1,FULLW,12_1_PM_12,,,,
12_1,FULLW,12_1_PM_13,,,,
12_1,FULLW,12_1_PM_14,,,,
12_1,FULLW,12_1_PM_15,,,,
12_1,FULLW,12_1_PM_16,,,,
12_1,FULLW,12_1_PM_17,,,,
